ISP,Country,ASN
NPInformationSystems,BD,AS140541 Optima
ADNTelecom,BD,AS38203 ADN Telecom Ltd.
KaKhaComputer,BD,AS141386 Ka Kha Computer
SummitCommunications,BD,AS58717 Summit Communications Ltd
MizanurRahmantaMayaCyberWorld,BD,AS134968 Mizanur Rahman t/a Maya Cyber World
CoxLinkIt,BD,AS140712 COX LINK IT
MuhammadNasirtaDhakaInformationTechnology,BD,AS135578 Muhammad Nasir t/a Dhaka Information Technology
BroadBandTelecomServices,BD,AS45326 Broad Band Telecom Services Ltd
BKBNetwork,,
Md.ShazzadHossain,BD,AS138397 Md. Shazzad Hossain
DeVoteDNBN,BD,AS45245 Banglalink Digital Communications Ltd
KSNetworkLimited,BD,AS59362 KS Network Limited
MicroNetwork,BD,AS142436 Micro Network
WinkNetwork,BD,AS138197 WINK NETWORK
Md.SharifulIslamTABRISKSYSTEMS,BD,AS134180 Md. Shariful Islam T/A BRISK SYSTEMS
NetZone,BD,AS142122 Netzone Computers
AftabITLimited.,BD,AS38071 Aftab IT Limited.
MazedaNetworksLimited,BD,AS63996 Mazeda Networks Limited
GUNGCHIL,BD,AS136534 GUNGCHIL
BDCOM,BD,AS7565 BDCOM-BD
EdgeSpeed,BD,AS139036 Edge Speed
MultiTechOnline,BD,AS133633 MultiTech Online
DurantoBroadbandNetwork,BD,AS149281 Duranto Broadband Network
IncomitSolution,BD,AS137425 INCOMIT SOLUTION
HamidElectronicsandAutomobiles,BD,AS146956 Hamid Electronics and Automobiles
RajshahiUniversityofEngineering&TechnologyRU,BD,AS138462 Rajshahi University of Engineering & Technology (RUET)
BangladeshUniversityofEngineeringandTechnolog,BD,AS136618 Bangladesh University of Engineering and Technology
JupiterOnlineServices,BD,AS138917 JUPITER ONLINE SERVICES
VisionTechnologies,BD,AS137959 Vision Technologies Ltd.
AntarangaDotCom,BD,AS132298 Antaranga Dot Com Ltd
A.B.S.OnlineService,,
RanaJavedKabirtaInterpidBroadbandCommunicati,BD,AS134841 Rana Javed Kabir t/a Interpid Broadband Communication Company Ltd.
KTComputerandNetwork,,
WasiulIslamMostazirtaWIMSONLINE,BD,AS135115 Wasiul Islam Mostazir t/a WIMS ONLINE
CentralNetBroadbandNetwork,BD,AS142123 Central Net Broadband Network
FreedomOnline,BD,AS141231 Freedom Online
FastlinkBdDotNet,,
CityOnline,BD,AS136224 City Online Ltd.
bdHUBLimited,BD,AS58656 bdHUB Limited
Vbangla,BD,AS149627 V bangla
B.MITandCyberPlace,BD,AS139716 B.M IT and Cyber Place
JananiTechnology,BD,AS136022 Janani Technology
BTSCommunicationsBD,BD,"AS38200 BTS Communications (BD) ltd,"
FeniEasyNetISP,BD,AS138638 Feni Easy Net / ISP
MohammadYousuf,BD,AS137543 Mohammad Yousuf
DeshCommunications,BD,AS140612 DESH COMMUNICATIONS
DigiNet,BD,AS140949 Diginet
NetzoneComputers,BD,AS142122 Netzone Computers
TriangleServicesLimited.,BD,AS45766 Triangle Services Limited.
MDSalauddin,BD,AS135045 MD Salauddin
GalaxyNet,IQ,AS211986 Galaxy Network Co. For Internet Services Ltd
TuhinEnterpriseBangladesh,BD,AS134970 Tuhin Enterprise Bangladesh
XploreCyber&Net,BD,AS134153 MD Manir Hossen trading as Xplore Cyber & Net
FastCommunication,BD,AS149050 Fast Communication
HelloIT,BD,AS139227 Hello IT
ChittagongOnlineLimitedAS38592AP,BD,AS38592 Chittagong Online Limited AS38592 AP
aamranetworkslimited,BD,"AS24323 aamra networks limited,"
RashedurRahmantaOneskyCommunicationsLimited.,BD,AS136514 Rashedur Rahman t/a Onesky Communications Limited.
BaipailNetworkAndInternetService,BD,AS149514 Baipail Network And Internet Service
MayaSoft,BD,AS140906 MAYA SOFT
ValleyInternational,BD,AS138596 Valley International
SystemsSolutions&developmentTechnologiesLimit,BD,AS63526 Systems Solutions & development Technologies Limited
MynetLimited,BD,AS59332 Mynet Limited
Fiber@HomeGlobalLimited,BD,AS10075 Fiber@Home Global Limited
BASNetwork,BD,AS136429 BAS Network
RenaissanceOnlineandCyberCafe,BD,AS139027 Renaissance Online and Cyber Cafe
BottolaCyberNet,BD,AS134572 Bottola Cyber Net
AmarnetSystem,BD,AS135019 Amarnet System
Internet@HomeLimited,BD,AS135654 Internet @ Home Limited
MdGolamKibria,BD,AS137532 Md Golam Kibria
Banglalink,BD,AS45245 Banglalink Digital Communications Ltd
BandhuNetworkSystem,BD,AS141194 Bandhu Network System
Fastnet,RU,AS43404 Fastnet LLC
NewCNSOnline,BD,AS136257 New CNS Online
HelpLine,BD,AS59340 Help Line
RedNetwork,BD,AS134812 Red Network Ltd
AlifaCyberCafe,BD,AS139858 ALIFA CYBER CAFE
UpdateTechnology,BD,AS140847 Update Technology
CANL,NC,AS17480 CANL
OFFRATEL,NC,AS56089 OFFRATEL
OPT-NC,DZ,AS327931 Optimum Telecom Algeria
Telenet,BE,AS6848 Telenet BVBA
MicroLogicSystems,NC,AS56055 Micro Logic Systems
Batelco,JO,AS9038 Batelco Jordan
stcBahrain,BH,AS51375 STC BAHRAIN B.S.C CLOSED
EtisalcomBahrainCompanyW.L.L.,BH,AS35457 Etisalcom Bahrain Company W.L.L.
ZainBahrainB.s.c.,BH,AS31452 ZAIN BAHRAIN B.S.C.
SyrianTelecom,,
SamaNetISP,SY,AS29256 Syrian Telecom
Sonatel,SN,AS8346 SONATEL SONATEL-AS Autonomous System
TigoSenegal,SN,AS37649 SAGA AFRICA HOLDINGS LIMITED
TeliaFinland,FI,AS1759 Telia Finland Oyj
HetznerOnlineGmbH,DE,AS24940 Hetzner Online GmbH
AKNET,KG,AS12764 AKNET Ltd.
OOOTrivonNetworks,RU,AS31514 OOO Trivon Networks
MTSOJSC,RU,AS8580 MTS PJSC
Oriontelecomltd,RU,AS208221 Orion telecom ltd
InformacionnuyetechnologiyiLtd,RU,AS51525 Informacionnuye technologiyi Ltd
UnetCommunicationLLC,RU,AS42518 Unet Communication LLC
NETKOM-ELtd.,RU,AS200066 NETKOM-E Ltd.
ISSLtd.,RU,AS57587 ISS Ltd.
WellTelecom,RU,AS57246 WellTelecom LLC
RegionalDigitalTelecommunicationCompanyLLC,RU,AS29072 Regional Digital Telecommunication Company LLC
MediaNetLLC,RU,AS205226 MediaNet LLC
AOTeleradiocompanyOdintsovo,RU,AS61121 AO Teleradiocompany Odintsovo
ITTLtd.,RU,AS43182 ITT Ltd.
JointstockcompanyFor,RU,AS48642 Joint stock company For
InformationandCommunicationTechnologiesLLC,RU,AS35539 Information and Communication Technologies LLC
Azimut-RLtd.,RU,AS34975 Azimut-R Ltd.
LTDErline,RU,AS47895 LTD Erline
ContactTVInc.,RU,AS43434 Contact TV Inc.
LLCMost,RU,"AS198052 LLC ""Most"""
Resource-MLLC,RU,AS29329 Resource-M LLC
JSCElektrosvyaz,RU,AS44391 JSC Elektrosvyaz
Ru.NetLtd.,RU,AS57250 Ru.Net Ltd.
Ast-SystemsLtd.,BD,AS146988 Astha Networks
TelecommunicationnetworksLtd,RU,AS49136 Telecommunication networks Ltd
NizhnevolzhskieTelecommunicationNetworksRealLL,,
JSCRDEUnico,RU,AS41344 Vist on-line LTD
Cifra1,RU,AS8905 Digit One LLC
TelesetiLtd,RU,AS49551 Teleseti Ltd
RTATelecomLtd.,RU,AS9177 RTA Telecom Ltd.
ASTEIS-TELECOMLtd.,RU,AS49160 ASTEIS-TELECOM Ltd.
OJSCComcor,RU,AS15582 AKADO Stolitsa
RepublicanDigitalCommunicationsOfficeLAN,RU,AS208890 Republican Digital Communications Office LAN
P.a.k.tLLC,RU,AS39087 P.A.K.T LLC
SergeySergeev,RU,AS199214 Trust Telecom Ltd
TelesetiPlusLtd.,RU,AS15673 Teleseti Plus Ltd.
MANnetLtd.,RU,AS47118 MAN net Ltd.
LLCMegion-Link,RU,AS60554 LLC Megion-Link
MTSPJSC,RU,AS8359 MTS PJSC
CityLinkLtd,RU,AS47236 CityLink Ltd
NovotelecomLtd,RU,AS31200 Novotelecom Ltd
DagomysTelecomLLC,RU,AS48078 Dagomys Telecom LLC
LLCIPLS,RU,AS44300 LLC IPLS
ProgressTechnologyLLC,RU,AS49954 Progress Technology LLC
LLCTransAnalitica,RU,AS62130 LLC Trans Analitica
AVK-WellcomLtd.,RU,AS49403 AVK-Wellcom Ltd.
JSCUfanet,RU,AS24955 JSC Ufanet
MODUSLLC,RU,AS60747 MODUS LLC
CenterforInformationandCommunicationTechnolog,RU,"AS204925 Center for Information and Communication Technologies of the Republic of Bashkortostan, State Unitary Enterprise"
OJSCKostromaMunicipalTelephoneNetwork,RU,AS44507 OJSC Kostroma Municipal Telephone Network
Miranda-MediaLtd,RU,AS201776 Miranda-Media Ltd
BitraceTelecom,RU,AS49893 Bitrace telecom Ltd.
Norilsk-TelecomJSC,RU,AS33871 Norilsk-Telecom JSC
ProServisLtd.,RU,AS47133 ProServis Ltd.
CityLineLLC,RU,AS48190 T2 Mobile LLC
KETISLtd.,RU,AS48320 KETIS Ltd.
RamtelLtd.,RU,AS44943 Ramtel Ltd.
OJSMoscowcitytelephonenetworkGPON,,
JointStockCompanyTagnet,RU,"AS201844 LLC ""Korus"""
LLCMultiservice,RU,"AS52043 LLC ""Multiservice"""
KOMPASTELECOMLtd,,
InetcomLLC,RU,AS35598 Inetcom LLC
KVSLtd,RU,AS41302 KVS Ltd
MoscowCityTelephoneNetwork,RU,AS25513 PJSC Moscow city telephone network
SergeiChubenko,RU,AS43270 Sergei Chubenko
EngineeringNetworks-Telecom,RU,AS198826 Limited Liability Company INZHENERNYE SETI - TELEKOM
GlobalNetworkManagementInc,RU,AS39102 Global Network Management Inc
"Vidikon-K,CJSC",RU,"AS57214 Vidikon-K, CJSC"
SKAT-MediaLtd.,RU,AS49483 SKAT-Media Ltd.
LLCOptima-East,RU,AS48882 LLC Optima-East
SKTVLtd.,RU,AS57818 SKTV Ltd.
AnnetLtd.,RU,AS50060 Annet Ltd.
NoKSLtd,RU,AS20485 Joint Stock Company TransTeleCom
PJSCBashinformsvyaz,RU,AS28812 PJSC Bashinformsvyaz
ZAOOptikTeleCom,RU,AS47166 ZAO OptikTeleCom
ZelenayaTochkaLipetsk,RU,AS201250 Zelenaya Tochka Lipetsk LLC
LimitedCompanySvyazservice,RU,AS42387 Limited Company Svyazservice
TelComLLC,RU,AS50676 TelCom LLC
KvartalPlusLtd,RU,AS49325 Kvartal Plus Ltd
Productionco-operativeEconomic-legallaboratory,,
Telekey-SLtd,RU,AS56451 Telekey-S Ltd
Dom.ru,RU,AS51570 JSC ER-Telecom Holding
Utex-TelecomLLC,RU,AS51904 Utex-Telecom LLC
KTVLtd.,RU,AS58158 KTV Ltd.
OOOSviftTelecom,RU,AS51592 OOO Svift Telecom
LLCTatAISneft,RU,AS203972 LLC TatAISneft
IT-YaroslavlLtd.,RU,AS50596 Informatsionnye Tekhnologii LLC
UDPLtd.,RU,AS42589 UDP Ltd.
SubnetLLC,RU,AS39434 Optika Telecom
RENETCOMLtd.,RU,AS30936 RENET COM Ltd.
IlimTelecomLtd.,RU,AS51655 Ilim Telecom Ltd.
LtdPermInterCom,RU,AS29303 Ltd PermInterCom
LLCYarteleservice,RU,AS57781 LLC Yarteleservice
OOOSvyazInform,RU,"AS39707 OOO ""SvyazInform"""
Ekanet,RU,AS8402 PJSC Vimpelcom
DigitalTehnologyLtd,RU,AS49293 Digital Tehnology Ltd
Saint-PetersburgComputerNetworksLtd.,RU,AS44923 Saint-Petersburg Computer Networks Ltd.
NetornLLC,RU,AS50668 Dialog-K LLC
"TelecommunicationscenterUMOS,LLC",RU,"AS29233 Telecommunications center UMOS, LLC"
TrytechLtd.,RU,AS44056 Trytech Ltd.
I-NetLLC,PE,AS262253 ECONOCABLE MEDIA SAC
OOOSET,RU,AS48176 OOO SET
INTRASTLtd.,RU,AS198438 INTRAST Ltd.
Inter-setLtd.,VE,AS21826 Corporación Telemic C.A.
IrkutskBusinessNet,RU,AS8345 Irkutsk Business Net
OOOLux,RU,AS42233 OOO Lux
TransTeleCom,RU,AS51813 Joint Stock Company TransTeleCom
NationalCableNetworks,RU,AS42610 PJSC Rostelecom
Viston-lineLTD,RU,AS41344 Vist on-line LTD
LLCNauka-Svyaz,RU,AS8641 LLC Nauka-Svyaz
EkusLLC,RU,AS58219 Ekus LLC
PowernetLtd,RU,AS51032 Powernet Ltd
Comteh.ruLtd.,RU,AS48368 Comteh.ru Ltd.
JuzhnyetelefonnyesetiLtd,RU,AS197311 Juzhnye telefonnye seti Ltd
SkynetCom,RU,AS56418 MIkhail Lavkin
TelkoJSC,RU,AS49107 Telko JSC
LLCEkran,RU,AS196742 LLC Ekran
FlexLtd.,RU,AS21453 Flex Ltd.
JSCSeveren-Telecom,RU,AS24739 SEVEREN TELECOM
Yota,RU,AS31213 PJSC MegaFon
INNORLtd.,RU,AS13296 INNOR Ltd.
KOMETALLC,RU,AS56541 KOMETA LLC
ORIONNET,RU,AS31257 Orion Telecom LLC
OOOCreativeDirectMarketingSolutions,RU,AS47914 OOO Creative Direct Marketing Solutions
LTDDarya,RU,AS42919 LTD Darya
BeelineHome,RU,AS8402 PJSC Vimpelcom
OmskiekabelnyesetiLtd.,RU,AS47165 Omskie kabelnye seti Ltd.
TRKTonusLLC,RU,AS57679 TRK Tonus LLC
FederalStateEducationalInstitutionofHigherPr,RU,"AS9124 Federal State Educational Institution of Higher Professional Education ""Russian State University of Immanuil Kant"""
LLCSmartGrupp,RU,AS204102 LLC SmartGrupp
MegasetiLtd.,RU,AS34771 Megaseti Ltd.
InterkamServiceLLC,RU,AS42742 InterkamService LLC
InfotechLtd.,RU,AS42765 INFOTECH LTD.
NizhnetagilskieKompyuternyeSetiLLC,RU,AS49218 Nizhnetagilskie Kompyuternye Seti LLC
GigaLinkLtd.,RU,AS50771 GigaLink Ltd.
"Timer,LLC",RU,"AS47626 Timer, LLC"
PronetLLC,RU,AS48467 Pronet LLC
YarnetLtd,RU,AS197078 Yarnet Ltd
Telecom-ServiceOJSC,EG,AS8452 TE-AS
LimitedLiabilityCompanyMVMTechnology,RU,AS41349 Limited Liability Company MVM Technology
IndividualentrepreneurNoroshkinVladimirAleksan,RU,AS57725 Individual entrepreneur Noroshkin Vladimir Aleksandrovich
LLCNewLine,RU,AS57424 Limited liability company New Line
OOOMediaSeti,RU,AS49342 OOO MediaSeti
VostokMediaSvyazLtd.,RU,AS49749 VostokMediaSvyaz Ltd.
"INTERRAtelecommunicationsgroup,Ltd.",RU,"AS48524 INTERRA telecommunications group, Ltd."
PrivateLimitedCompanyLutacom,RU,AS49444 Private Limited Company Lutacom
JointStockCompanyTransTeleCom,RU,AS21191 Joint Stock Company TransTeleCom
LTD5COM,RU,AS211625 LTD 5COM
OooTrk''integral'',RU,AS212673 Ooo Trk ''integral''
ProximaLtd,RU,AS50182 Proxima Ltd
NikolayOlegovichTokarev,RU,AS209789 Nikolay Olegovich Tokarev
IntercitiLTD,RU,AS41575 Intercity Ltd.
KazanUniversity,RU,AS3325 Kazan University
LimitedLiabilityCompanyVLADINFO,RU,AS35645 Limited Liability Company VLADINFO
UralWES,RU,AS5563 JSC ER-Telecom Holding
JVA-MobileLtd.,RU,AS50257 JV A-Mobile Ltd.
SeverTelecomJSC,RU,AS61403 Sever Telecom JSC
ThemunicipalenterpriseSeverskelektrosviaz,RU,"AS33892 The municipal enterprise ""Severskelektrosviaz"""
CentralTelegraphPublicJoint-stockCompany,RU,AS8615 Central Telegraph Public Joint-stock Company
JSCComstar-Regions,RU,AS13055 JSC Comstar-Regions
MTSOrel,RU,AS43720 MTS OJSC
Telecom-Uslugi-NET,,
DeilLtd.,RU,AS57661 Deil Ltd.
IvanteevskietelecommunicaciiLtd,RU,AS48149 Ivanteevskie telecommunicacii Ltd
Skynet,RU,AS35807 SkyNet Ltd.
Garastel,RU,AS51547 LLC Telekonika
M247Ltd,GB,AS9009 M247 Ltd
IpParkLLC,RU,AS205439 IP PARK LLC
InformatsionnyeTekhnologiiLLC,RU,AS50596 Informatsionnye Tekhnologii LLC
ZAOElectronTelecom,RU,AS42065 ZAO ElectronTelecom
ConnectLLC,RU,AS50158 Connect LLC
LTDPokrovskyradiotelefon,RU,AS34703 LTD Pokrovsky radiotelefon
Link,BD,AS23688 Link3 Technologies Ltd.
CJSCVainahTelecom,RU,AS49724 CJSC Vainah Telecom
Center-TelekomLLC,RU,"AS204925 Center for Information and Communication Technologies of the Republic of Bashkortostan, State Unitary Enterprise"
MikroelLtd,RU,AS24758 Mikroel Ltd
FlyTechLtd.,RU,AS56634 Fly-Tech Ltd.
Rostelecom,RU,AS12389 PJSC Rostelecom
ViterEvgeniyVasilevich,RU,AS58096 Viter Evgeniy Vasilevich
LANTALtd,RU,AS41268 LANTA Ltd
"InformationNetwork,LLC",RU,"AS48416 Information Network, LLC"
PG19,RU,AS49037 Mikhail Mayorov
CSITLLC,,
IPNikolayYankovskiy,RU,AS197052 IP Nikolay Yankovskiy
LLCTerabit,RU,AS206803 LLC Terabit
FirmaSvyazLtd.,RU,AS198758 Firma Svyaz Ltd.
OOOKompaniyaEtype,RU,AS8774 OOO Kompaniya Etype
OOORGTSParus,RU,"AS58136 OOO RGTS ""Parus"""
IT-Netltd.,AR,AS263236 Itelsa
SistemySvyaziLlc,RU,AS41929 Sistemy Svyazi Llc
ER-Telecom,RU,AS41727 JSC ER-Telecom Holding
SolnceTelecom,RU,AS51004 Sakhalin Cable Telesystems Ltd
TelecomCenterLLC,RU,AS62423 Telecom Center LLC
LinkTelecomNNLtd.,RU,AS197275 Link Telecom NN Ltd.
RamSvyazInvestLLC,RU,AS59637 RamSvyazInvest LLC
MediaSououzLtd.,RU,AS42001 Media Sououz Ltd.
OOOComLine,RU,AS201786 OOO ComLine
AOASVT,RU,AS8752 AO ASVT
Jsccredo-telecom,RU,AS5523 CREDO TELECOM
IsaevKamilMagomedovich,RU,AS58024 Isaev Kamil Magomedovich
FederalStateBudgetaryEducationalInstitutionof,RU,AS2848 Federal State Budgetary Educational Institution of Higher Education Lomonosov Moscow State University
DagNetLtd.,,
OooTks2000,RU,AS44011 OOO TKS2000
ElectronicShieldLtd.,RU,AS34739 Electronic Shield Ltd.
UG-TELECOMLtd.,RU,AS43567 UG-TELECOM Ltd.
PJSCMegaFon,RU,AS31133 PJSC MegaFon
NPFSOFTVIDEOLtd.,RU,AS57712 NPF SOFTVIDEO Ltd.
MegasvyazLLC,RU,AS34602 MEGASVYAZ LLC
OBITLtd.,KZ,AS43370 OBIT Ltd.
Tattelecom,RU,AS28840 PJSC TATTELECOM
SibirskieSetiLtd.,RU,AS34757 Sibirskie Seti Ltd.
23-net.ru,RU,AS60245 Sannikov Kirill Vladimirovich
TviptelLcc,RU,AS57113 TVIPTEL LCC
OOONUTEP,RU,AS57805 OOO NUTEP
Yug-Telecom-KLtd.,,
KINGISEPP-ONLINELtd.,RU,AS48481 KINGISEPP-ONLINE Ltd.
IpboomTelecomLLC,RU,AS204350 Ipboom Telecom LLC
FirmaSotrudnikPlusLtd.,RU,AS47370 Firma Sotrudnik Plus Ltd.
"FiordNetworks,UAB",RU,"AS28917 Fiord Networks, UAB"
"INKO-Telecom,LLC",RU,"AS198367 INKO-Telecom, LLC"
DomoLANLtd.,RU,AS49368 DomoLAN Ltd.
InvestMobileLLC,RU,AS50265 Invest Mobile LLC
InfolineLtd.,RU,AS8416 Infoline Ltd.
InforoomLtd.,RU,AS48366 Inforoom Ltd.
Vinku,RU,AS201469 Concept Ltd.
ZelenayaTochkaUfaLLC,RU,AS201123 Zelenaya Tochka Ufa LLC
LimitedLiabilityCompanyHyperNet,RU,AS39775 Limited Liability Company HyperNet
TrancomISP,RU,AS47181 Trancom ISP
Ekaterinburg-2000LLC,RU,AS31499 Ekaterinburg-2000 LLC
PEZinsteinHaritonVladimirovich,UA,AS43936 PE Zinstein Hariton Vladimirovich
JSCAvantel,RU,AS51178 JSC Avantel
TimeWebLtd.,RU,AS9123 TimeWeb Ltd.
RTSLLC,RU,AS48333 RTS LLC
CjscAist,RU,AS8439 JSC AIST
IskratelecomCJSC,RU,AS29124 Iskratelecom CJSC
INDIKOM,RU,AS59584 INDIKOM LLC
NovoeKabelnoeTelevisionLtd.,RU,AS31028 Novoe Kabelnoe Television Ltd.
DigitalNetworksLtd,RU,AS47733 Digital Networks Ltd
BCLanLLC,RU,AS25591 BCLan LLC
Scientific-ProductionEnterpriseBusinessSviazHo,RU,AS59574 Limited Liability Company SKS Telecom
ZAOTeleconnect,RU,AS35025 ZAO Teleconnect
Intersvyaz,RU,AS8369 Intersvyaz-2 JSC
JointStockCompanyMTUKristall,,
Igra-ServiceLLC,RU,AS33991 Igra-Service LLC
OctopusnetLTD,RU,AS44724 Octopusnet LTD
ALFATELECOMs.r.o.,UA,AS43656 KP Intertelecom Ltd
OOOTeleservis,RU,"AS50126 OOO ""Teleservis"""
Egs-telecom.kalugaLLC,RU,AS209284 EGS-TELECOM.KALUGA LLC
Jscaviel,RU,AS35271 JSC AVIEL
Beeline,RU,AS3216 PJSC Vimpelcom
IPKhachaturovaSusannaRafaelievna,,
TSIServiceJSC,RU,AS34139 TSI Service JSC
GorPTUsOOO,RU,AS47531 GorPTUs OOO
itnet33.ru,RU,AS50596 Informatsionnye Tekhnologii LLC
GoodnetLLC,RU,AS39577 Goodnet LLC
QuartzTelecomLLC,RU,AS50009 QUARTZ TELECOM LLC
NetByNetHoldingLLC,RU,AS12714 Net By Net Holding LLC
CrelcomLLC,RU,AS6789 CRELCOM LLC
Ic-voronezh,BD,AS58689 ICC Communication
SmoltelecomLtd,RU,AS44265 Smoltelecom Ltd
Tele2Russia,RU,AS48092 T2 Mobile LLC
LLCSipnis,RU,AS35032 LLC SIP NIS
Niko-2001LLC,RU,AS30953 Niko-2001 LLC
Nlink,RU,AS56420 JSC ER-Telecom Holding
ExtremeLtd,RU,AS39709 EXTREME LTD
IntexcomOOO,RU,AS50174 Intexcom OOO
OOOPostltd,RU,AS12494 OOO Post ltd
MozhayskyTelecommunicationNetworksLLC,RU,AS57571 Telekonika ruza
FederalStateInstitutionFederalScientificResea,RU,AS56534 Comfortel Ltd.
BezheckayaInternetCompanyltd.,RU,AS58048 Bezheckaya Internet Company ltd.
LLCKomTehCentr,RU,AS12668 LLC KomTehCentr
TVSPUTNIK,,
UNICO,,
IntronexSetevyeResheniyaLtd.,RU,AS59693 Intronex Setevye Resheniya Ltd.
IrkutskenergosvyazLTD,RU,AS202011 Irkutskenergosvyaz LTD
ClosedJointStockCompanyRadiotelephone,RU,AS39812 Closed Joint Stock Company Radiotelephone
JscKvant-telekom,RU,AS44604 JSC KVANT-TELEKOM
2com,RU,AS8334 LLC SETEL
KTVSLtd.,RU,AS51812 KTVS Ltd.
RegionSvyazKonsaltLLC,RU,AS39264 Region Svyaz Konsalt LLC
ZAOAstrakhanDigitalTelevision,RU,AS44941 ZAO Astrakhan Digital Television
Svyaz-EnergoLtd.,RU,AS50477 Svyaz-Energo Ltd.
Astra-SeverLTD,RS,AS203877 ASTRA TELEKOM DOO BEOGRAD
"OJSCRostelecom,Vladimirbranch",RU,AS12389 PJSC Rostelecom
TCTORLLC,RU,AS44270 TC TOR LLC
Lite-TelecomLimited,RU,AS49863 Lite-Telecom Limited
FirmSvyazLtd,RU,AS49848 Firm Svyaz Ltd
M-LineLtd.,GH,AS30986 Scancom Limited
Nord-WestLink,RU,AS42893 Nord-West Link NP
Rbk-investLLC,RU,AS210451 Rbk-invest LLC
"Nevalink,LLC",RU,"AS42668 Nevalink, LLC"
TISDialogLLC,RU,AS31214 TIS Dialog LLC
BUKOLTD,RU,AS48494 BUKO LTD
INKOLtd.,RU,AS44678 INKO Ltd.
Izet,RU,AS41925 Limited Liability Company Izet Telecom Ural
AtlasTelecomLtd.,RU,AS59600 Atlas Telecom Ltd.
ExportTelecomLLC,RU,AS43598 Export Telecom LLC
LukjanovaLydiaAndreevnaPE,RU,AS59533 Lukjanova Lydia Andreevna PE
TelecomPlusLtd.,RU,AS44622 Telecom Plus Ltd.
YuzhniyTELECOMltd.,RU,AS20895 Yuzhniy TELECOM ltd.
SuhoyLogIntersatLtd.,RU,AS61985 Suhoy Log Intersat Ltd.
OOOSestroretskoeCableTelevision,RU,AS50105 OOO Sestroretskoe Cable Television
SharkTelecomLLC,RU,AS49371 Shark Telecom LLC
TeledomLLC,RU,AS206066 Teledom LLC
UgSel'hozLLC,RU,AS199833 UgSel'hoz LLC
JSCRedcom-lnternet,RU,AS8749 JSC Redcom-lnternet
SprintInetLLC,RU,AS43235 SPRINT INET LLC
LLCRocketTelecom,RU,AS208142 LLC Rocket Telecom
LLCCifrovieSetiUrala,RU,AS209746 CONVEX NOVOURALSK
SamaraNationalResearchUniversity,RU,AS197467 Samara National Research University
MobileTrendLtd,RU,AS51158 Mobile Trend Ltd
CompanyInternetTechnologiesLLC,RU,AS44845 Company Internet Technologies LLC
MAXnetSystemsLtd.,RU,AS8636 MAXnet Systems Ltd.
IRBISTelecommunicationsLtd.,RU,AS48129 IRBIS Telecommunications Ltd.
ArtXLLC,RU,AS20985 ArtX LLC
CJSCKolomna-SviazTV,RU,AS39493 CJSC Kolomna-Sviaz TV
LovitelLLC,RU,AS41275 Lovitel LLC
Webmaxltd.,RU,AS35165 Ltd. Web MAX
LLCSouthTransTelecom,RU,"AS206448 LLC ""SouthTransTelecom"""
FastnetLLC,RU,AS43404 Fastnet LLC
OrgtechserviceLtd,RU,AS56361 Orgtechservice Ltd
GorsetLtd.,RU,AS49120 Gorset Ltd.
JSCMastertel,,
PenzenskayaTelephonnayacompanyclosedjoint-stoc,RU,AS47618 Penzenskaya Telephonnaya company closed joint-stock company
X-TrimLtd.,ID,AS24203 PT XL Axiata
VsevnetLtd.,RU,AS44882 Vsevnet Ltd.
JSCMacomnet,RU,AS8470 JSC Macomnet
VivaLLC,RU,AS57393 Viva LLC
ASARTALLC,RU,AS204272 ASARTA LLC
TVINGOtelecom,RU,AS43793 PJSC Rostelecom
JSCTelecommunications21,RU,AS197394 JSC Telecommunications 21
LLCMilecom,RU,AS48858 LLC Milecom
LLCDigitalDialogue-Nets,RU,AS51200 LLC Digital Dialogue-Nets
SYSTEMALtd,RU,AS57354 SYSTEMA Ltd
VNETLLC,RU,AS56690 VNET LLC
TerralinkLLC,RU,AS62440 Terralink LLC
Technology&NetworksLLC,RU,AS30833 Technology & Networks LLC
LLCBelgorodNetworkingTelecommunicationCompany,RU,AS204297 LLC  Belgorod Networking Telecommunication Company
TeleOkacomLLC,RU,AS198056 TeleOka Kom Ltd.
BestLineLtd.,RU,AS207676 Best Line Ltd.
CrystallLtd.,,
OrbitaISP,RU,"AS61360 Special Engineering and Design Bureau ""Orbita"" JSC"
SkyEngineeringLLC,RU,AS50254 Sky Engineering LLC
StroytechserviceLLC,RU,AS47684 Stroytechservice LLC
RusphoneOOO,RU,AS201825 Rusphone OOO
OOOTelecomTZ,RU,AS15672 OOO Telecom TZ
TimerLtd.,RU,"AS47626 Timer, LLC"
AltagenJSC,RU,AS50473 Altagen JSC
HomeComputerNetworksltd.,RU,AS51669 Home Computer Networks ltd.
JointInstituteforNuclearResearch,RU,AS2875 Joint Institute for Nuclear Research
Business-Svyaz,RU,AS47586 Business Svyaz
OzyorskTelecomCJSC.,RU,AS48043 Ozyorsk Telecom CJSC.
OOOUJKDruzhba,RU,"AS56779 OOO UJK "" Druzhba"""
RialComJSC,RU,AS34456 Rial Com JSC
JSCRosin.telekom,RU,AS24689 JSC Rosin.telekom
VideolineLLC,RU,AS201556 Videoline LLC
ZelenayaTochkaLipetskLLC,RU,AS201250 Zelenaya Tochka Lipetsk LLC
Exponential-e,GB,AS25180 Exponential-E Ltd.
BT,GB,AS2856 British Telecommunications PLC
